[18:32:48.568] [INFO   ] thread main starting.
[18:32:49.600] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:32:49.603] [SEVERE ] configuration file was loaded from resources directory.
[18:33:06.175] [INFO   ] thread dealer starting.
[18:33:06.188] [INFO   ] thread dealer starting.
[18:33:15.480] [SEVERE ] key 81 was pressed by player 1
[18:33:25.953] [SEVERE ] key 87 was pressed by player 1
[18:33:26.555] [SEVERE ] key 69 was pressed by player 1
[18:33:27.024] [SEVERE ] key 82 was pressed by player 1
[18:33:27.626] [SEVERE ] key 65 was pressed by player 1
[18:33:27.897] [SEVERE ] key 83 was pressed by player 1
[18:33:28.142] [SEVERE ] key 68 was pressed by player 1
[18:33:28.451] [SEVERE ] key 70 was pressed by player 1
[18:33:28.763] [SEVERE ] key 90 was pressed by player 1
[18:33:28.987] [SEVERE ] key 88 was pressed by player 1
[18:33:29.198] [SEVERE ] key 67 was pressed by player 1
[18:33:29.425] [SEVERE ] key 86 was pressed by player 1
[18:33:32.446] [SEVERE ] key 80 was pressed by player 2
[18:33:33.061] [SEVERE ] key 79 was pressed by player 2
[18:33:33.506] [SEVERE ] key 73 was pressed by player 2
[18:33:33.954] [SEVERE ] key 85 was pressed by player 2
[18:33:34.465] [SEVERE ] key 59 was pressed by player 2
[18:33:35.148] [SEVERE ] key 76 was pressed by player 2
[18:33:35.525] [SEVERE ] key 75 was pressed by player 2
[18:33:35.842] [SEVERE ] key 74 was pressed by player 2
[18:33:36.922] [SEVERE ] key 46 was pressed by player 2
[18:33:37.318] [SEVERE ] key 44 was pressed by player 2
[18:33:37.634] [SEVERE ] key 77 was pressed by player 2
[18:33:38.578] [SEVERE ] key 86 was pressed by player 1
[18:33:39.204] [SEVERE ] key 82 was pressed by player 1
[18:33:39.518] [SEVERE ] key 70 was pressed by player 1
[18:33:39.879] [SEVERE ] key 67 was pressed by player 1
[18:33:51.695] [SEVERE ] exit button pressed
